year,country,LCCR,FCDR,KAOPEN,SP,DDP,GDP_per_cap,inflation,remittance_GDP,country_type,high_inflation,LCCR_risk,FCDR_risk,KAOPEN_risk,sovereignty_risk
2019,US,8.2,0.4,2.35,0.1,100,65000,1.8,0.0,发达,0,0.9518072289156627,0.0014771048744460862,0.0,0.38131373351604353
2019,China,11.0,1.0,-1.19,0.0,60,10200,2.9,0.2,新兴,0,0.783132530120482,0.010339734121122598,0.8349056603773585,0.48437003777211357
2019,Argentina,24.0,50.0,-1.89,0.5,65,11000,53.5,0.3,新兴,1,0.0,0.7341211225997046,1.0,0.49364844903988186
2019,Guinea,16.0,18.0,-1.2,0.2,45,1100,9.1,1.5,发展中,0,0.4819277108433736,0.26144756277695713,0.8372641509433962,0.46480293963681163
2019,Fiji,14.0,4.5,1.5,0.1,48,5000,3.5,6.5,发展中,0,0.6024096385542169,0.0620384047267356,0.20047169811320764,0.30587355693502255
2019,Japan,19.0,1.5,1.9,0.01,62,40000,0.5,0.1,发达,0,0.3012048192771085,0.017725258493353026,0.10613207547169812,0.14879844620252425
2020,US,8.0,0.3,2.35,0.2,100,63000,1.2,0.0,发达,0,0.963855421686747,0.0,0.0,0.3855421686746988
2020,China,10.5,1.2,-1.19,0.0,59,10400,2.4,0.2,新兴,0,0.8132530120481928,0.01329394387001477,0.8349056603773585,0.49759991444275475
2020,Argentina,21.0,52.0,-1.89,1.0,68,8500,42.0,0.3,新兴,1,0.1807228915662652,0.7636632200886263,1.0,0.5777544446619567
2020,Guinea,15.5,20.0,-1.2,0.3,47,1200,10.8,1.6,发展中,0,0.5120481927710844,0.29098966026587886,0.8372641509433962,0.48866797140346463
2020,Fiji,13.8,4.8,1.5,0.15,49,4800,0.1,6.8,发展中,0,0.6144578313253013,0.06646971935007386,0.20047169811320764,0.31246535989279156
2020,Japan,18.5,1.7,1.9,0.02,61,40000,-0.0,0.1,发达,0,0.3313253012048194,0.020679468242245196,0.10613207547169812,0.16202832287316546
2021,US,7.9,0.3,2.35,0.3,100,70000,4.7,0.0,发达,0,0.9698795180722891,0.0,0.0,0.38795180722891565
2021,China,10.2,1.5,-1.19,0.05,58,12500,0.9,0.2,新兴,0,0.8313253012048194,0.017725258493353026,0.8349056603773585,0.5066013559547407
2021,Argentina,19.0,55.0,-1.89,2.0,72,10500,48.4,0.3,新兴,1,0.3012048192771085,0.8079763663220089,1.0,0.643672474239647
2021,Guinea,14.5,22.0,-1.2,0.4,50,1300,12.0,1.7,发展中,0,0.572289156626506,0.3205317577548006,0.8372641509433962,0.5245811959412019
2021,Fiji,13.5,5.0,1.5,0.2,50,4900,1.7,7.0,发展中,0,0.6325301204819278,0.06942392909896603,0.20047169811320764,0.3208759594549991
2021,Japan,18.2,1.8,1.9,0.03,60,40000,-0.2,0.1,发达,0,0.3493975903614459,0.022156573116691284,0.10613207547169812,0.16984808048559452
2022,US,7.7,0.3,2.35,0.4,100,76000,8.0,0.0,发达,0,0.9819277108433735,0.0,0.0,0.3927710843373494
